Article;désignation;Qté Produite;UQ;Fin réelle;Longueur du caisson en mm;longueur pour flasques à déduire en mm;Longueur profils en mm;finition;jour de fab
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;07.01.2015;3500;6;3494;AS1;05.01.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;07.01.2015;1942;6;1936;AS1;06.01.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;13.01.2015;3405;6;3399;AS1;13.01.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;13.01.2015;3240;6;3234;AS1;13.01.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;19.01.2015;4720;6;4714;AS1;16.01.2015
CAI 007071;CAISSON PORTE ETANCHE AS;2;PC;28.01.2015;3525;6;3519;AS1;26.01.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;18.03.2015;3760;6;3754;AS1;18.03.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;18.03.2015;3760;6;3754;AS1;18.03.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;24.03.2015;1356;6;1350;AS1;23.03.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;25.03.2015;2800;6;2794;AS1;24.03.2015
CAI 007071;CAISSON PORTE ETANCHE AS;2;PC;28.04.2015;3525;6;3519;AS1;01.04.2015
CAI 007071;CAISSON PORTE ETANCHE AS;2;PC;21.04.2015;2125;6;2119;AS1;01.04.2015
CAI 007071;CAISSON PORTE ETANCHE AS;2;PC;22.04.2015;2125;6;2119;AS1;01.04.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;23.04.2015;2125;6;2119;AS1;01.04.2015
CAI 007071;CAISSON PORTE ETANCHE AS;15;PC;21.04.2015;3360;6;3354;AS1;13.04.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;22.04.2015;3360;6;3354;AS1;16.04.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;11.05.2015;3325;6;3319;AS1;28.04.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;19.05.2015;3370;6;3364;AS1;11.05.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;19.05.2015;3212;6;3206;AS1;11.05.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;02.06.2015;3500;6;3494;AS1;12.05.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;18.05.2015;3500;6;3494;AS1;12.05.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;18.05.2015;3500;6;3494;AS1;12.05.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;02.06.2015;3480;6;3474;AS1;12.05.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;18.05.2015;3446;6;3440;AS1;12.05.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;02.06.2015;3032;6;3026;AS1;12.05.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;15.07.2015;2785;6;2779;AS1;15.06.2015
CAI 007071;CAISSON PORTE ETANCHE AS;4;PC;24.06.2015;2760;6;2754;AS1;15.06.2015
CAI 007071;CAISSON PORTE ETANCHE AS;8;PC;24.06.2015;2760;6;2754;AS1;15.06.2015
CAI 007071;CAISSON PORTE ETANCHE AS;2;PC;02.07.2015;2160;6;2154;AS1;24.06.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;03.07.2015;2901;6;2895;AS1;25.06.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;03.07.2015;2761;6;2755;AS1;25.06.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;03.07.2015;3530;6;3524;AS1;03.07.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;03.07.2015;3300;6;3294;AS1;03.07.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;03.07.2015;3300;6;3294;AS1;03.07.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;03.07.2015;3300;6;3294;AS1;03.07.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;03.07.2015;3300;6;3294;AS1;03.07.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;03.07.2015;3300;6;3294;AS1;03.07.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;03.07.2015;3300;6;3294;AS1;03.07.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;03.07.2015;3265;6;3259;AS1;03.07.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;23.07.2015;3269;6;3263;AS1;16.07.2015
CAI 007071;CAISSON PORTE ETANCHE AS;2;PC;24.07.2015;3320;6;3314;AS1;20.07.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;19.08.2015;3703;6;3697;AS1;11.08.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;19.08.2015;3703;6;3697;AS1;11.08.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;19.08.2015;3703;6;3697;AS1;11.08.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;19.08.2015;3564;6;3558;AS1;11.08.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;19.08.2015;3524;6;3518;AS1;11.08.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;19.08.2015;3360;6;3354;AS1;19.08.2015
CAI 007071;CAISSON PORTE ETANCHE AS;2;PC;02.09.2015;3325;6;3319;AS1;24.08.2015
CAI 007071;CAISSON PORTE ETANCHE AS;7;PC;16.09.2015;3325;6;3319;AS1;24.08.2015
CAI 007071;CAISSON PORTE ETANCHE AS;3;PC;01.09.2015;3325;6;3319;AS1;24.08.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;17.09.2015;3160;6;3154;AS1;24.08.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;17.09.2015;2325;6;2319;AS1;24.08.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;23.09.2015;3420;6;3414;AS1;07.09.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;15.09.2015;3283;6;3277;AS1;07.09.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;15.09.2015;1825;6;1819;AS1;07.09.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;29.09.2015;3281;6;3275;AS1;23.09.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;19.10.2015;3315;6;3309;AS1;06.10.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;21.10.2015;1813;6;1807;AS1;07.10.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;21.10.2015;1809;6;1803;AS1;07.10.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;24.11.2015;2000;6;1994;AS1;19.11.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;24.11.2015;3900;6;3894;AS1;23.11.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;24.11.2015;3900;6;3894;AS1;23.11.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;24.11.2015;2000;6;1994;AS1;24.11.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;24.11.2015;2000;6;1994;AS1;24.11.2015
CAI 007071;CAISSON PORTE ETANCHE AS;2;PC;08.12.2015;3300;6;3294;AS1;30.11.2015
CAI 007071;CAISSON PORTE ETANCHE AS;4;PC;08.12.2015;3300;6;3294;AS1;30.11.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;16.12.2015;3449;6;3443;AS1;16.12.2015
CAI 007071;CAISSON PORTE ETANCHE AS;1;PC;16.12.2015;3449;6;3443;AS1;16.12.2015
